year,month,day,avg_temp,avg_humidity,avg_pressure,condition
2021,1,1,24.12,0.86,30.36,overcast
2021,1,2,26.71,0.86,30.19,light_snow
2021,1,3,26.71,0.86,30.19,light_snow
2021,1,4,30.68,0.88,30.1,overcast
2021,1,5,22.89,0.95,30.16,ice_fog
2021,1,6,30.19,0.9,30.15,light_snow
2021,1,7,14.75,0.86,30.47,clear
2021,1,8,23.86,0.87,30.36,overcast
2021,1,9,21.22,0.88,30.38,sun
2021,1,10,11.92,0.86,30.51,clear
2021,1,11,20.8,0.85,30.54,overcast
2021,1,12,12.67,0.82,30.6,clear
2021,1,13,17.3,0.84,30.48,overcast
2021,1,14,31,0.82,30.26,overcast
2021,1,15,24.21,0.73,30.59,clear
2021,1,16,16.29,0.8,30.6,clear
2021,1,17,21.71,0.93,30.47,ice_fog
2021,1,18,24.45,0.97,30.29,ice_fog
2021,1,19,21.86,0.96,30.32,ice_fog
2021,1,20,15,0.85,30.57,clear
2021,1,21,12.42,0.82,30.42,overcast
2021,1,22,23.68,0.89,30.1,light_snow
2021,1,23,24,0.92,29.96,overcast
2021,1,24,23.28,0.81,29.91,sun
2021,1,25,23.37,0.78,29.92,overcast
2021,1,26,14.65,0.79,29.83,overcast
2021,1,27,13.54,0.82,29.94,overcast
2021,1,28,24.18,0.81,30.06,overcast
2021,1,29,32.73,0.86,29.98,clouds
2021,1,30,36.4,0.83,29.73,light_rain
2021,1,31,30.47,0.86,30.08,light_snow
2021,2,1,21.54,0.8,30.37,clear
2021,2,2,21.54,0.8,30.37,clear
2021,2,3,31.12,0.77,30.1,sun
2021,2,4,24.28,0.89,30.21,clouds
2021,2,5,24.28,0.89,30.21,clouds
2021,2,6,28.56,0.79,29.96,overcast
2021,2,7,30.25,0.75,29.9,clear
2021,2,8,29.72,0.67,29.78,clear
2021,2,9,20.5,0.73,29.93,clear
2021,2,10,13.75,0.83,30.06,clear
2021,2,11,20.17,0.7,30.07,clear
2021,2,12,24.29,0.76,29.94,clear
2021,2,13,16.42,0.88,29.85,light_snow
2021,2,14,12.98,0.82,29.8,light_snow
2021,2,15,12.5,0.74,30.12,overcast
2021,2,16,18.92,0.91,29.82,light_snow
2021,2,17,24.62,0.93,29.79,low_clouds
2021,2,18,22.27,0.92,30.05,ice_fog
2021,2,19,19.71,0.88,30.38,overcast
2021,2,20,28.09,0.84,30.16,overcast
2021,2,21,26.45,0.93,30.01,light_snow
2021,2,22,23.63,0.87,30.4,passing_clouds
2021,2,23,33.74,0.75,30.35,passing_clouds
2021,2,24,16.58,0.77,30.41,clear
2021,2,25,16.58,0.77,30.41,clear
2021,2,26,19.54,0.75,30.36,overcast
2021,2,27,24.97,0.89,29.83,light_snow
2021,2,28,21.08,0.8,30.02,clouds
2021,3,1,18.08,0.81,30.51,overcast
2021,3,2,18.08,0.81,30.51,overcast
2021,3,3,17.75,0.81,30.29,clear
2021,3,4,23.46,0.76,30.13,clear
2021,3,5,28.75,0.7,30.23,clear
2021,3,6,26.67,0.79,30.4,clear
2021,3,7,33.4,0.7,29.99,clear
2021,3,8,33.68,0.81,30.14,clear
2021,3,9,33.93,0.79,29.94,sun
2021,3,10,33.65,0.72,29.98,clouds
2021,3,11,30.92,0.7,29.93,clear
2021,3,12,28.54,0.67,30.13,clear
2021,3,13,29.17,0.62,30.24,clear
2021,3,14,32.83,0.59,30.14,clear
2021,3,15,40.26,0.57,29.99,sun
2021,3,16,37.65,0.68,29.77,clear
2021,3,17,39.33,0.62,29.87,sun
2021,3,18,38.92,0.65,30.11,clear
2021,3,19,42.08,0.65,30.12,clear
